分類,標題,內容,附檔連結,發布日期
"醫療器材","為什麼血糖機經常測試不準呢？","解答： 網路流傳血糖機經常測量不準確，導致糖尿病患者差點誤打胰島素而引發昏迷，是否有血糖機經常測試不準的問題呢？ (1) 血糖機屬於第二等級醫療器材，血糖機產品上市前須需要經過食藥署審查。目前審查規範(如：ISO 15197及美國FDA之家用血糖機基準)與國際同步，均要求產品的安全性及功效性要達一定的標準。 (2) 影響血糖機測試血糖值準確度的因素有很多，主要包括血液來源以及血糖機使用不當所造成的影響，如血液採樣的位置不同(靜脈血、指尖末梢微血管全血)、血球容積不同、患者血液所含特殊物質(三酸甘油脂濃度過高、免疫球蛋白等)、血液樣本量不足、血糖機視窗太髒等，都會使血糖機測試血糖值的準確度不一致。 (3) 食藥署提醒，一定要購買具有醫療器材許可證字號的血糖機及試紙，且家用血糖機之檢測準確性，與民眾的使用方式及儲存環境有關，在使用之前，一定要詳細閱讀產品說明書，依照說明書的指示操作及儲存條件保存，並定期將血糖機送回原廠校正，才能確保測量結果的正確性。同時也要提醒大家，家用血糖機所記錄的數據是用來做為疾病追蹤的參考，而不是做為診斷疾病之用，若發現量測結果與症狀不符，或有任何疑問，皆應請教醫師再做後續處置。 參考資料： 食藥署「血糖機宣導單張」 http://www.fda.gov.tw/upload/133/2014082814504646696.jpg 全民糖尿病觀測站 http://www.diabetes.org.tw/wddt_heduc01.jsp?P_TNO=EDUC990060002&P_HCTG=M","","05 5 2016"
"化粧品","網路廣為流傳，止汗制臭劑會引起淋巴阻塞，導致乳癌，這是真的嗎？","解答： 聽說常用止汗制臭劑，因為汗腺被抑制而無法排出汗水，汗水中的毒素會累積於體內，引起淋巴阻塞而導致乳癌，這是真的嗎？ (1) 根據美國國立癌症中心(National Cancer Institute)及美國FDA研究表示，尚無直接證據證明乳癌與止汗制臭劑有關。 (2) 食藥署徵詢皮膚專科醫師表示，止汗制臭劑使用時只有少部分塗抹量會進入汗管，而且目前我國對於止汗制臭劑使用之成分訂有限量管理規範，因此請民眾毋需過度恐慌。 (3) 食藥署仍將持續關注國際間化粧品成分之管理規範，若國內外有確切科學證據顯示會影響健康安全，我國將立即採取進一步管理措施，以維護消費者健康。 (4) 提醒消費者，在購買止汗劑前要注意產品標示、許可證字號、使用方法及注意事項等資訊，千萬不要購買來路不明的產品；使用前應先進行皮膚測試，留意是否有過敏、刺激或不適等狀況，使用時若肌膚有傷口，就不要使用止汗劑，如果有任何問題及狀況，建議諮詢皮膚科醫師。若發現不良品或使用時發生不良反應，可通報食藥署建置的「藥物食品化粧品上市後品質管理系統(全國化粧品不良事件通報系統)」，網址：http://qms.fda.gov.tw/tcbw/ ，通報專線：02-66251166轉6401。 參考資料： TFDA 化粧品安全使用粉絲團 https://www.facebook.com/tfdacos 國家網路醫院 http://hospital.kingnet.com.tw/essay/essay.html?pid=18009","","05 9 2016"
"食品","蒜頭發芽有毒嗎？","解答： 聽說發芽的蒜頭有毒不能食用，請問這是真的嗎？ (1) 根據農委會的說明，蒜頭在發芽過程中，會消耗掉部分的營養物質，導致蒜瓣外型呈現乾癟，營養價值降低，但是並沒有產生有毒物質，蒜頭及長出的蒜苗皆可食用。 (2) 雖然蒜頭發芽沒有毒，但是食藥署提醒民眾盡量攝取新鮮的食材，應注意食物的保存，單次購買量不宜太多。 參考資料： 行政院農委會 http://www.coa.gov.tw/faq/faq_view.php?id=44 和信治癌中心醫院營養室 http://60.248.192.59/index.php?article_id=3791","","03 16 2016"
"食品","買蓮霧回家後竟然褪色，用衛生紙一擦拭就染色，該不會添加人工色素吧？","解答： 聽人家說水果店家為了讓水果賣相好，都會用一些人工色素增添水果顏色，像是買蓮霧回家後褪色，用衛生紙擦拭蓮霧就染色，該不會真的添加人工色素吧？ (1) 根據農委會的說明，蓮霧果皮只要一點磨損，就可以輕易擦拭出果皮自然生成的花青素，使衛生紙染上顏色，並非坊間謠傳的人工色素。此外，蓮霧表皮含天然蠟質，無法用人工色素輕易著色，更難以染出自然的漸層色澤。 (2) 食藥署提醒，民眾對於食材的原始顏色要有正確的認識，不要輕信謠言，也不要挑選過度鮮艷的食物，並且選擇包裝完整、有完整標示的產品。 參考資料： 行政院農委會 https://kmweb.coa.gov.tw/subject/ct.asp?xItem=958537&ctNode=3500&mp=253&kpi=0&hashid= 藥物食品安全週報第478期 http://www.fda.gov.tw/tc/PublishOtherEpaper.aspx","","03 21 2016"
"化粧品","坊間流行自製化粧品，自己作的真的比較安全嗎？","解答： 近年坊間有許多美容書籍與網路資訊鼓吹自製化粧品，標榜可以親手調製出較簡單、便宜、天然及安全的化粧品，自製化粧品真的比較安全嗎？ 消費者自製化粧品時，因為缺乏完善的製造設備、生產環境及檢驗設備，而會導致下列問題： (1) 原料純度掌控不易：材料必須向化工原料行購買，消費者不容易掌握原料的純度、穩定性。 (2) 較易孳生細菌：由於無法在無菌的環境下製作，產品容易受汙染而滋生細菌，使化粧品衛生品質低劣，使用時如果肌膚有傷口，可能導致發炎、化膿等嚴重反應。 (3) 調製比例不易掌握：在添加各種成分時，可能因濃度過高對肌膚造成刺激，或因濃度過低而無法達到預期功效；另外，製作時如果沒有注意酸鹼值，使用過酸或過鹼的化粧品，將導致肌膚灼傷紅腫而留下難以淡化的疤痕。 食藥署提醒民眾，千萬不要貿然地使用自製化粧品，可能會對肌膚造成不可逆的傷害。因此，食藥署原則上不鼓勵民眾自行調製化粧品，且自行製作之化粧品，因不符合化粧品設廠標準等規定，該等成品僅能自行使用，不得販售。 參考資料： 食藥署藥物食品安全週報第481期 http://www.fda.gov.tw/TC/PublishOtherEpaper.aspx 新光醫訊第168期http://www.skh.org.tw/Mnews/168/4-3.htm","","03 23 2016"
"食品","民間流傳將石榴煮水後，常喝石榴水可以溶解各種結石，這是真的嗎？","解答： 不明消息來源在Line、FB等網路通訊媒體上散播「石榴煮水後，常喝石榴水可以溶解各種結石」謠言，引發部分消費者的疑慮。 (1) 由於國人健康意識的提升，對於食品保健相關議題更加重視，所以有關食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的疑慮。關於網路流傳「石榴煮水後，常喝石榴水可以溶解各種結石」的訊息，其內容沒有相關的資訊來源，而且也沒有科學論述依據。 (2) 食藥署提醒民眾，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信，也避免再轉傳親友。","","03 14 2016"
"食品","馬鈴薯發芽有毒，聽說只要把發芽的芽眼切除，其他部位還是可以吃，這是真的嗎？","解答： 馬鈴薯發芽時會產生毒素，聽說只要把發芽的芽眼切除，其他部位還是可以吃，這是真的嗎？ (1) 「茄鹼」(α-solanine，或稱龍葵鹼、茄靈、美茄鹼)是植物發芽時對抗感染自我保護機制下所產生的之生物鹼，以防止塊莖被吃掉。 (2) 當馬鈴薯發芽時，芽眼及芽根開始變綠，整顆馬鈴薯產生大量的茄鹼，特別會集中在芽眼及馬鈴薯外皮，而其他部位的茄鹼含量也會增高，因此並非切除芽眼後即可食用，即使高溫加熱也無法去除毒性。 (3) 食用過多含茄鹼的植物可能會產生急性中毒，常見的症狀包括頭痛、噁心、嘔吐、腹痛、腹瀉等；罕見症狀包括血壓偏低、心跳偏慢、呼吸變快、肌肉絞痛、流涎以及溶血等。發生中毒的時間多在食用後2～24小時，腹瀉的情形可能會持續3～6天。 (4) 食藥署建議民眾，盡量多攝取新鮮食材，不要購買太多；保存時，將馬鈴薯置於低溫、無直射陽光照射的地方，以防止發芽；馬鈴薯一旦發芽就不該食用，即使切除芽眼或加熱，仍然會含有茄鹼。 參考資料： 食藥署闢謠專區「帶皮和發芽的馬鈴薯不可食用，是真的嗎？」 http://www.fda.gov.tw/TC/newsContent.aspx?id=13756&chk=73a6044a-1792-439f-9d2a-3c8a9c8ca78a&param=pn&cid=5049&cchk=55abc933-3e57-48db-afff-a8a4cc1e4ae0&scid=&key1=%e9%a6%ac%e9%88%b4%e8%96%af#.VwckmFJf2Uk 國家網路醫院 http://hospital.kingnet.com.tw/essay/essay.html?pid=10443 台灣好食材 http://www.fooding.com.tw/article-content.php?aid=103480 和信治癌中心醫院營養室 http://60.248.192.59/index.php?article_id=3791 台東基督教醫院 http://www.tch.org.tw/tchweb/ArticleContent.aspx?UniqueID=1922&Category_D_ID=100","","05 17 2016"
"藥品","有朋友分享，吃感冒藥可以治療經痛，請問這是真的嗎？","解答： 有女性友人分享，吃感冒藥可以治療經痛，請問這是真的嗎？！ 因綜合感冒藥每錠(粒)合併含有多種的藥物成分，用以緩解咳嗽、鼻塞、喉嚨痛、疼痛等多種感冒症狀，而其中通常僅一種成分具止痛效果，若欲以綜合感冒藥治療經痛，則感冒藥中的其他成分也可能會對身體造成負擔，因此吃感冒藥治療經痛不是正確的用藥方式。 食藥署建議民眾，身體若有異狀或病痛應至各醫療院所接受醫師診治，依醫師指示服藥，勿自行增加劑量或同時服用兩種以上的止痛藥。 參考資料： 食藥署「民眾用藥宣導專區」之103年新住民安全用藥手冊 http://www.fda.gov.tw/TC/site.aspx?sid=3670 食藥署網站民眾用藥宣導專區之文宣品資料「正確用藥五大核心海報 (止痛藥篇)」 http://www.fda.gov.tw/TC/siteList.aspx?pn=4&sid=3690 藥物食品安全週報第439期 http://www.fda.gov.tw/TC/PublishOtherEpaper.aspx","","05 19 2016"
"藥品","吃藥能配茶嗎？","解答： (1)有不少民眾會以茶代替水配服藥品，但因茶含有鞣質，很容易與藥物中的離子結合，而茶中的茶單寧亦會干擾鐵質的吸收。故不僅不適合配藥吃，亦不宜配服營養補充品。 (2)建議吃藥時最好配開水一起服用，吞食後需小口、分數次補充水分，確保藥物不會卡在食道內，而造成食道化學灼傷。","","07 31 2015"
"化粧品","防曬產品係數越高越好，是真的嗎？","解答： (1)一般日常防曬產品以SPF數值高低來表示隔離UVB的效力， SPF15可過濾93.3% UVB；而SPF30可過濾達96.7%的UVB，SPF50可過濾高達98% UVB，但事實上SPF15與SPF30，在數值上雖有2倍之遙，但防護能力只有相差3.4%！所以高防曬係數並不等於擁有倍數的防護能力。 (2)消費者在購買防曬產品時，總以為防曬係數愈高就愈好。其實防曬係數只是一個參考數字，實際上還必須依照個人的膚質、日曬反應、皮膚色澤、活動狀況及流汗情形來挑選。提醒愛美的消費者，不要有防曬係數加倍，防護加倍的迷思，此外，防曬劑只是輔助，適時撐傘、戴帽、使用太陽眼鏡及穿著淡色長袖衣物的物理性防護，更可以加強抵禦紫外線侵害我們的皮膚。 (3)欲知更多相關資訊，歡迎至食藥署「食用玩家」粉絲團詳閱：https://goo.gl/1rCxmz","","07 31 2015"
"食品","聽說美國又發布最新日本進口食品管制措施，是真的嗎?","解答： 1.有關網路最近流傳「美國FDA發佈第99-33號進口警示管制日本食品」，實際上，美國FDA是將原有的管制措施，於104年8月5日修訂並解除2項產品的進口管制，解除管制的2項產品包括福島縣的一種魚類(Sea Raven)及岩手縣的黃豆等，而並非加強管制的新措施。 2.經查「第99-33號進口警示」，是美國FDA在100年針對日本發生311福島核災事件時，所發布的進口食品警示。期間隨管制品項內容，經過多次的修訂，而最近新公布修訂的「第99-33號進口警示」，是新放寬日本2項產品進口，而並非加強管制日本進口食品，所以請民眾不要再聽信未經查證的網路謠言，並拒絕轉發此類訊息。 「第99-33號進口警示」原文網址請見：http://www.accessdata.fda.gov/cms_ia/importalert_621.html","","08 7 2015"
"食品","喝荷葉灰水可以幫助減肥，這是真的嗎？","解答： 有朋友建議喝荷葉灰水可以幫助減肥，這是真的嗎？ (1) 荷葉為睡蓮科植物蓮花的葉子，習於水中生活，通常種植於池塘、沼澤之中，荷花則盛開於夏季。 (2) 由於國人健康意識的提升，對於食品保健相關議題更加重視，所以有關食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的恐慌。關於坊間流傳「喝荷葉灰水可以減肥」的訊息，內容沒有相關的資訊來源，而且也沒有相關科學論述依據，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (3) 食藥署提醒，想減肥的民眾應該保持均衡飲食，養成健康的生活習慣，適當運動來維持理想的體重，並建立正確的營養攝取觀念，才能維持身體健康。絕對不要聽信偏方或是服用來路不明的減肥食品、藥品等，反而傷害身體。","","10 24 2016"
